10^24	10 mũ 24
a bowl	bát
a burner	bếp lò
a center	trung tâm
a glance	liếc nhìn
a hit	cú đánh
a joint	khớp
a means	cách thức
a sigh	tiếng thở dài
a smattering	biết sơ
a soliloquy	độc thoại
a species	loài
abstain from voting	bỏ phiếu trắng
abundant harvest	mùa màng bội thu
academic background	học vấn
actual expense	chi phí thực tế
addition and subtraction	cộng trừ
addressed to	gửi tới
adjectival noun	tính từ -na
adjectival suffix for a person	hậu tố tính từ chỉ người
administration of justice	tư pháp
agricultural chemicals	thuốc nông nghiệp
agricultural land	đất nông nghiệp
agricultural produce	nông sản
all at once	cùng lúc
all members	toàn bộ thành viên
all night	suốt đêm
alma mater	trường cũ
along railway line	dọc tuyến đường sắt
amount of money	số tiền
amusement park	công viên giải trí
an encounter	cuộc gặp
an orange	quả cam
ancient times	thời cổ
animal husbandry	chăn nuôi
annual tree ring	vòng năm của cây
another place	nơi khác
anything of	bất cứ điều gì
appetite	sự thèm ăn
arable land	đất canh tác
arrival	sự đến
arrival in japan	đến Nhật
article counter	lượng từ cho đồ vật
arts and sciences	văn lý
as a matter of fact	thực ra
as ever	như mọi khi
assistant professor	phó giáo sư
at a glance	nhìn thoáng qua
at a stroke	một lúc
at ease	thoải mái
at least	ít nhất
at night	vào ban đêm
at that time	lúc đó
at the latest	muộn nhất
atmospheric current	dòng khí quyển
atmospheric pressure	khí áp
atomic bomb	bom nguyên tử
attached to	gắn với
attack	tấn công
auxiliary verb	trợ động từ
bad harvest	mất mùa
balance in the black	số dư dương
balance sheet	bảng cân đối
bank clerk	nhân viên ngân hàng
be dressed up	ăn mặc chỉnh tề
be surprised	ngạc nhiên
beautiful passage of literature	đoạn văn hay
beauty of figure or form	vẻ đẹp dáng hình
beginning and end	đầu và cuối
being disheartened	nản lòng
being elected	đắc cử
being on duty	đang trực
belt for western clothes	thắt lưng
between meal snack	đồ ăn vặt
bill	hóa đơn
birth-place	quê quán
blind spot	điểm mù
blood transfusion	truyền máu
blood vessel	mạch máu
bone fracture	gãy xương
book of tickets	tập vé
both extremities	hai cực
bow	cái cung
box lunch	cơm hộp
branch store	chi nhánh
break in the deadlock	phá thế bế tắc
buddhist image	tượng Phật
buddhist karma	nghiệp Phật giáo
buried property	của chôn
bus or tram stop	bến xe buýt
by all means	nhất định
by force	bằng vũ lực
by itself	tự nó
by oneself	một mình
cabinet minister	bộ trưởng
cape	mũi đất
cardinal number suffix	hậu tố số đếm
cassette	băng cassette
cell	tế bào
ceremonial hall	hội trường lễ
chain of islands	quần đảo
chance encounter	gặp tình cờ
change of post	thuyên chuyển
change schools	chuyển trường
changing clothes	thay quần áo
chemical combination	hợp chất
chemical element	nguyên tố
cherry blossom	hoa anh đào
chest of drawers	tủ ngăn kéo
chewing gum	kẹo cao su
chinese character-japanese	chữ Hán kiểu Nhật
chinese word	từ Hán
christian era	công nguyên
clashing of swords	giao kiếm
clearing	khoảng trống
coal mine	mỏ than
cold storage	kho lạnh
column of text	cột chữ
committee member	ủy viên
common sense	thường thức
commuting to school	đi học
commuting to work	đi làm
company owned house	nhà công ty
complete recovery of health	hồi phục hoàn toàn
complete works	toàn tập
completion	hoàn thành
consecutive holidays	ngày nghỉ liền
consecutively	liên tục
construction work	công trình xây dựng
copper coin	đồng xu
corresponding	tương ứng
cost of fuel and light	tiền điện nước
counter for birds	lượng từ cho chim
counter for chapters	lượng từ cho chương
counter for houses	lượng từ cho nhà
counter for occurrences	lượng từ cho lần
counter for suits of clothing	lượng từ cho bộ quần áo
counter for wheels and flowers	lượng từ cho bánh xe và hoa
court lady	cung nữ
cover	bìa
criminal case	án hình sự
cross section	mặt cắt
crowd of people	đám đông
crude oil	dầu thô
cushion	đệm
customs house	hải quan
daily necessities	đồ dùng hàng ngày
dairy	sản phẩm sữa
dancing	nhảy múa
date and time	ngày giờ
day care worker in a kindergarten nursery school etc	cô nuôi dạy trẻ
day of the week	thứ trong tuần
day trip	đi trong ngày
dear	thân mến
decision of a contest	kết quả trận đấu
departure of a vehicle	xe xuất phát
depending on	tùy theo
depending on the circumstances	tùy tình hình
developing	đang phát triển
diet building	tòa Quốc hội
dining table	bàn ăn
diplomatic relations	quan hệ ngoại giao
direct communication	liên lạc trực tiếp
direct current	dòng điện một chiều
directing arrow	mũi tên chỉ hướng
disappointed love	tình đơn phương
district of a town	khu phố
division	phép chia
division into equal parts	chia đều
division of labour	phân công lao động
doing	đang làm
domestic products	hàng nội địa
dotted line	đường chấm chấm
down-train	tàu chiều xuống
dramatization	kịch hóa
dried plum	mận khô
dried washing	đồ giặt đã khô
drive in	lái vào
drop	giọt
drop of water	giọt nước
dropping out of school	bỏ học
dry cleaning	giặt khô
dual income	hai người cùng đi làm
each respectively	mỗi cái
earthenware pot	nồi đất
eastern half of japan	nửa đông Nhật Bản
edge	cạnh
eighth sign of chinese zodiac	thân (địa chi)
eldest daughter	con gái cả
eldest son	con trai cả
electric current	dòng điện
electric fan	quạt điện
electric line	đường dây điện
electric power	điện năng
electro-magnetic wave	sóng điện từ
elementary level	sơ cấp
emperor of japan	thiên hoàng
en route	trên đường
enclosure	khu rào
end of term	cuối kỳ
end of the month	cuối tháng
english letter	chữ cái tiếng Anh
english-japanese	Anh–Nhật
entry	mục
entry to a company	vào công ty
established price	giá định
europe and america	Âu Mỹ
every other week	cách tuần
examination of tickets	soát vé
exit and entrance	lối ra vào
expectant waiting	chờ đợi
exposure to the sun	phơi nắng
face of the earth	mặt đất
facial expression	biểu cảm
factory worker	công nhân
failure of electricity	mất điện
fairy tale	truyện cổ tích
fallen leaves	lá rụng
feel relieved	nhẹ nhõm
feeling awkward	lúng túng
feeling keenly	cảm nhận sâu
feudal lord	lãnh chúa
filial piety	hiếu thảo
fine powder	bột mịn
fine weather	trời đẹp
first 10 days of month	mười ngày đầu tháng
first 10 days of the month	mười ngày đầu tháng
first arrival	đến trước
first train	chuyến tàu đầu
fishing boat	thuyền đánh cá
fixed date	ngày cố định
fixed term	có thời hạn
fluorescent lamp	đèn huỳnh quang
folding fan	quạt giấy
folk song	dân ca
font of purifying water placed at entrance of shrine	bể nước thanh tẩy ở đền
foreign minister	bộ trưởng ngoại giao
four seasons	bốn mùa
fourth sign of chinese zodiac	mão (địa chi)
fresh water	nước ngọt
frigid zone	vùng cực lạnh
fry pan	chảo rán
gaining on	đuổi kịp
game under lights	trận đấu đêm
general affairs	hành chính tổng vụ
general meeting	đại hội
general public	công chúng
genuine article	hàng thật
geological features	địa chất
geta	guốc gỗ
go	cờ vây
go board	bàn cờ vây
going off duty	tan ca
going on to university	lên đại học
going slowly	đi chậm
going to work	đi làm
good and evil	thiện ác
good sense	óc thẩm mỹ
grade in school	khối lớp
grade school student	học sinh tiểu học
graduate from	tốt nghiệp
graduate school	cao học
great cost	chi phí lớn
great war	đại chiến
guest seating	chỗ khách
haiku poetry	thơ haiku
