delicious	ngon
guitar	đàn guitar
taxi	xe taxi
television	tivi
page	trang
radio	đài radio
movie	phim
be born	sinh ra
blue	xanh
quick	nhanh
bird	chim
younger brother	em trai
business suit	vest
within	trong
salad	salad
suitcase	vali
praise	khen
speedy	nhanh
you	bạn
sightseeing	tham quan
surroundings	xung quanh
judo	judo
kimono	kimono
japanese bedding	futon
i	tôi
album	album
acopy	bản sao
soup	súp
sofa	ghế sofa
dyer	kim cương
towel	khăn
demo	biểu tình
truck	xe tải
drama	phim truyền hình
playing cards	bài tây
knock	gõ cửa
violin	vĩ cầm
hiking	đi bộ đường dài
pilot	phi công
beer	bia
picnic	dã ngoại
video	video
pin	ghim
a brake	phanh
paint	sơn
platform	sân ga
you might say	thôi nào
mike	micro
yacht	du thuyền
according to	theo
wine	rượu vang
surround	bao quanh
tuesday	thứ ba
circumference	chu vi
-like	mang vẻ
gold	vàng
friday	thứ sáu
silver	bạc
participation	tham gia
poem	thơ
poet	nhà thơ
suicide	tự sát
lawn	bãi cỏ
sleight of hand	ảo thuật
week	tuần
cousin	anh em họ
queen	nữ hoàng
actress	nữ diễn viên
wheat	lúa mì
parcel	bưu kiện
boys	con trai
floor	sàn nhà
pine tree	cây thông
elephant	voi
castle	lâu đài
to eat	ăn
traffic lights	đèn giao thông
heart	tim
close friend	bạn thân
needle	kim
life	cuộc sống
coal	than
tongue	lưỡi
twins	sinh đôi
nest	tổ
frost	sương giá
noise	tiếng ồn
handbreadth	bó
sleeve	tay áo
atmosphere	khí quyển
ambassador	đại sứ
continent	lục địa
valley	thung lũng
charge	phụ trách
earth	đất
basement	tầng hầm
savings	tiền tiết kiệm
immediately	ngay lập tức
in accordance with ~	theo
breathe	thở
beans	đậu
headache	đau đầu
verb	động từ
coworker	đồng nghiệp
road	đường
poison	thuốc độc
japan	Nhật Bản
farmer	nông dân
farmers	nông dân
bankruptcy	phá sản
horse	ngựa
plum	mận
museum	bảo tàng
clapping hands	vỗ tay
negation	phủ định
tragedy	bi kịch
comparison	so sánh
aviation	hàng không
knee	đầu gối
always	luôn luôn
string	dây
bottle	chai
complaint	phàn nàn
association	giao du
cloth	vải
width	chiều rộng
garments	trang phục
buddha	Phật
sounds	âm thanh
tale	câu chuyện
things	sự việc
physics	vật lý
phrase	câu nói
footpath	vỉa hè
grave	mộ
treasure	kho báu
act	đạo luật
call	thăm
abundant	dồi dào
by some chance	nếu chẳng may
charm	sức hút
daze	mê mẩn
futility	vô ích
