rice seedling	mạ
earthenware pot	nồi đất
subordinate person	cấp dưới
Buddhist image (statue)	tượng Phật
hard struggle	khổ chiến
strenuous effort	nỗ lực hết sức
fine powder	bột mịn
listening comprehension	nghe hiểu
unrequited love	tình đơn phương
prisoner (of war)	tù binh
pawn chess shogi	tốt (shogi)
alma mater	trường cũ
outstanding individual	nhân tài
treasured article or vessel	bảo vật
each respectively	mỗi cái
eighth sign of Chinese zodiac (The Ram  1pm-3pm  south-southwest  June)	mùi (địa chi)
savage land	vùng hoang
backward region	vùng chậm phát triển
uncivilized	chưa khai hóa
private home providing lodging for travelers	nhà trọ tư
blind spot	điểm mù
wholesale store	cửa hàng buôn sỉ
lung	phổi
electron	điện tử
