marathon	chạy marathon
(1) remodeling	cải tạo
fisheries	ngư nghiệp
hydrogen	hydro
drunkard	người say rượu
farewell	tiễn biệt
shipbuilding	đóng tàu
surveying	trắc địa
footprints	dấu chân
gymnastics	thể dục
carpenter	thợ mộc
waterfall	thác nước
currency	tiền tệ
passbook	sổ tiết kiệm
biography	tiểu sử
contagion	lây nhiễm
lighthouse	hải đăng
unity	thống nhất
Antarctic	Nam Cực
brightness	độ sáng
fragment	mảnh vỡ
proceeds	doanh thu
peninsula	bán đảo
attached	trực thuộc
classification	phân loại
hiragana	hiragana
katakana	katakana
recruiting	tuyển mộ
equation	phương trình
telescope	kính thiên văn
infinite	vô hạn
contradiction	mâu thuẫn
masterpiece	kiệt tác
superstition	mê tín
dialogue	đối thoại
pharmacy	hiệu thuốc
kindergarten	mẫu giáo
nutrient	dinh dưỡng
caretaker	người trông nhà
aluminium	nhôm
interchange	nút giao thông
intercom	điện thoại nội bộ
inflation	lạm phát
orientation	định hướng
attendant	nhân viên phục vụ
guidebook	sách hướng dẫn
cocktail	cocktail
category	thể loại
comeback	trở lại
cameraman	quay phim
dungarees	quần yếm
teamwork	làm việc nhóm
demonstration	biểu tình
transistor	transistor
screwdriver	tua vít
pachinko	pachinko
misprint	lỗi in
romantic	lãng mạn
suborder	bộ phụ
civility	lịch thiệp
aggravation	trầm trọng thêm
assassination	ám sát
reliance	tin cậy
migration	di cư
emigrant	người di cư
clothing	quần áo
shipping	vận chuyển
carriage	xe ngựa
transportation	vận tải
projection	phóng chiếu
cigarettes	thuốc lá
impurity	tạp chất
yokozuna	yokozuna
timidity	nhút nhát
diarrhoea	tiêu chảy
seasoning	gia vị
depopulation	giảm dân số
intervention	can thiệp
forwarding	chuyển tiếp
circulation	lưu thông
deterioration	suy thoái
maritime	hàng hải
notion	quan niệm
diffusion	khuếch tán
disparity	chênh lệch
possession	sở hữu
optimism	lạc quan
smoothness	trơn tru
bureaucrat	quan chức
tolerance	khoan dung
interference	can nhiễu
infection	nhiễm trùng
sensitivity	độ nhạy
guarding	bảo vệ
onlookers	người xem
ophthalmology	nhãn khoa
obstinacy	bướng bỉnh
donation	quyên góp
steamship	tàu hơi nước
describing	mô tả
undulation	sóng gợn
objective	khách quan
reversal	đảo ngược
handstand	đứng bằng tay
suspension	đình chỉ
residence	nơi ở
coeducation	học chung nam nữ
communism	chủ nghĩa cộng sản
nostalgia	hoài niệm
paradise	thiên đường
shortsightedness	cận thị
2.  punishment	trừng phạt
armaments	vũ khí
blessing	phúc lành
abatement	giảm bớt
encouragement	động viên
quotation	trích dẫn
viewpoint	quan điểm
antiquity	cổ đại
fixation	cố định
solitude	cô độc
exaggeration	phóng đại
glossary	bảng thuật ngữ
connection	kết nối
engineering	kỹ thuật
archaeology	khảo cổ
estrangement	xa cách
rainfall	lượng mưa
interval	khoảng thời gian
conference	hội nghị
symposium	hội thảo
rebuilding	xây lại
playback	phát lại
gathering	tụ họp
cultivation	canh tác
finances	tài chính
hallucination	ảo giác
sundries	đồ lặt vặt
chatting	tán gẫu
shamisen	shamisen
visiting	thăm viếng
mountains	núi non
hillside	sườn đồi
postpartum	sau sinh
oxidation	oxy hóa
embroidery	thêu
indication	dấu hiệu
enforcing	thi hành
vision	tầm nhìn
requirements	yêu cầu
dentistry	nha khoa
magnetism	từ tính
otolaryngology	tai mũi họng
independence	độc lập
resignation	từ chức
adhesion	bám dính
elimination	loại bỏ
jealousy	ghen tị
businessman	doanh nhân
weakness	điểm yếu
starring	đóng chính
protagonist	nhân vật chính
doorkeeper	người gác cửa
preparations	chuẩn bị
handicrafts	thủ công
manacles	còng tay
technique	kỹ thuật
adornment	trang sức
aggregate	tổng hợp
fullness	đầy đủ
repetition	lặp lại
usefulness	tính hữu ích
