day after tomorrow	ngày kia
over there	đằng kia
there	ở đó
you	bạn
that over there	cái kia (xa)
apartment	căn hộ
to bathe	tắm
not very	không lắm
to be	có / ở
that	cái đó
good	tốt
no	không
how	thế nào
how many?	bao nhiêu
how much?	bao nhiêu tiền
chair	ghế
best	tốt nhất
when	khi nào
always	luôn luôn
various	đa dạng
yes	vâng
elevator	thang máy
delicious	ngon
stomach	bụng
grandmother	bà
friendly term for policeman	cách gọi thân mật với cảnh sát
interesting	thú vị
sweets	đồ ngọt
money	tiền
(honorable) older brother	anh trai (tôn kính)
plate	đĩa
(honorable) older sister	chị gái (tôn kính)
bathroom	nhà tắm
alcohol	rượu
green tea	trà xanh
(honorable) father	bố (tôn kính)
bath	bồn tắm
boxed lunch	cơm hộp
(honorable) mother	mẹ (tôn kính)
to take time or money	tốn thời gian hoặc tiền
key	chìa khóa
to call by phone	gọi điện
cup	cốc
bag	túi
camera	máy ảnh
curry	cà ri
calendar	lịch
cute	dễ thương
guitar	ghita
pretty	xinh đẹp
kilogram	kilôgam
kilometre	kilômét
please	làm ơn
class	lớp học
gram	gam
coat	áo khoác
coffee	cà phê
here	ở đây
this person or way	người này / phía này
a glass	cốc thủy tinh
this	cái này
to copy	sao chép
such	như vậy
well…	nào / ừ thì
year after next	năm kia
however	tuy nhiên
well then…	vậy thì
shirt	áo sơ mi
shower	vòi sen
soy sauce	nước tương
skirt	váy
instantly	ngay lập tức
heater	máy sưởi
spoon	thìa
sport	thể thao
trousers	quần
slippers	dép lê
to do	làm
sweater	áo len
economy	kinh tế
zero	số không
and	và
that place	chỗ đó
near	gần
after that	sau đó
in that situation	trong trường hợp đó
very	rất
many	nhiều
taxi	taxi
length	chiều dài
tobacco	thuốc lá
probably	có lẽ
gradually	dần dần
rice bowl	bát cơm
exactly	chính xác
somewhat	hơi hơi
to turn on	bật
boring	nhàm chán
tape	băng
table	bàn
tape recorder	máy ghi âm
to be able to	có thể
test	bài kiểm tra
with that...	thế thì
department store	cửa hàng bách hóa
but	nhưng
television	tivi
Western style door	cửa kiểu Tây
toilet	nhà vệ sinh
for what reason	vì lý do gì
thanks	cảm ơn
where	ở đâu
which of two	cái nào (trong hai)
which	cái nào
who	ai
chicken meat	thịt gà
which (of three or more)	cái nào (từ ba trở lên)
knife	dao
why	tại sao
et cetera	vân vân
to become	trở thành
news	tin tức
tie	cà vạt
notebook	vở
party	bữa tiệc
to wear	mặc
chopsticks	đũa
bus	xe buýt
butter	bơ
bread	bánh mì
handkerchief	khăn tay
roll of film	cuộn phim
swimming pool	hồ bơi
fork	nĩa
page	trang
bed	giường
pet	thú cưng
pen	bút
ball-point pen	bút bi
other	khác
pocket	túi quần
post	bưu điện
button	nút
hotel	khách sạn
truth	sự thật
unpleasant	khó chịu
again	lại
yet	vẫn chưa
straight ahead	thẳng phía trước
match	diêm
everyone	mọi người
metre	mét
already	đã
more	thêm
slowly	chậm
often	thường xuyên
Used for comparison.	dùng khi so sánh
radio	radio
radio cassette player	máy radio cassette
splendid	tuyệt vời
record	đĩa than
restaurant	nhà hàng
business shirt	áo sơ mi công sở
bad	xấu
candy	kẹo
cheap	rẻ
gloomy	u ám
meaning	ý nghĩa
easy	dễ
to differ	khác
medical doctor	bác sĩ
one	một
one month	một tháng
day before yesterday	hôm kia
year before last	năm kia (trước)
together	cùng nhau
one person	một người
(1) one day	một ngày
to pull	kéo
a drink	đồ uống
to drink	uống
right side	bên phải
rain	mưa
movie	phim
cinema	rạp chiếu phim
to swim	bơi
English language	tiếng Anh
station	nhà ga
far	xa
pencil	bút chì
salt	muối
dirty	bẩn
(honorable) wife	vợ (tôn kính)
to push	đẩy
beside	bên cạnh
yellow	màu vàng
luke warm	âm ấm
music	âm nhạc
below	phía dưới
unskillful	vụng
what	cái gì
summer	mùa hè
summer holiday	kỳ nghỉ hè
house	nhà
family	gia đình
household	hộ gia đình
free time	thời gian rảnh
fruit	trái cây
song	bài hát
to sing	hát
Tuesday	thứ Ba
flower	hoa
a vase	bình hoa
luggage	hành lý
to meet	gặp
company	công ty
sea	biển
ashtray	gạt tàn
picture	bức tranh
to open	mở
stairs	cầu thang
outside	bên ngoài
foreign country	nước ngoài
foreigner	người nước ngoài
to remember	nhớ
a corner	góc
school	trường học
student	học sinh
enjoyable	vui
cold	lạnh
Chinese character	chữ kanji
sweet	ngọt
round	tròn
glasses	kính mắt
dangerous	nguy hiểm
desk	bàn học
to go back	về
to get up	thức dậy
coffee lounge	quán cà phê
rest	nghỉ ngơi
to rest	nghỉ
to smoke	hút thuốc
beef	thịt bò
milk	sữa
last year	năm ngoái
fish	cá
powerful	mạnh
to teach	dạy
classroom	phòng học
bridge	cầu
narrow	hẹp
to turn	rẽ / quay
to work for someone	làm việc cho ai
Friday	thứ Sáu
bank	ngân hàng
nine	chín
nine days	chín ngày
sky	bầu trời
shoes	giày
socks	tất
(humble) older brother	anh trai (khiêm)
(humble) siblings	anh chị em (khiêm)
policeman	cảnh sát
light	ánh sáng / nhẹ
marriage	kết hôn
Monday	thứ Hai
hate	ghét
building	tòa nhà
dog	chó
to show	cho xem
to see	nhìn / xem
health	sức khỏe
entry hall	sảnh vào
to say	nói
word	từ / lời
old (not used for people)	cũ (không dùng cho người)
to call out	gọi
Japanese style door	cửa kiểu Nhật
five	năm
five days	năm ngày
afternoon	buổi chiều
morning	buổi sáng
afterwards	sau đó
behind	phía sau
cooked rice	cơm
intersection	ngã tư
police box	bốt cảnh sát
park	công viên
kind	tử tế
mouth	miệng
likeable	dễ thương / thích
spacious	rộng rãi
black tea	trà đen
to go	đi
to get off	xuống (xe)
to fall	rơi / đổ
tall	cao
country	đất nước
black	đen
now	bây giờ
this month	tháng này
this week	tuần này
this morning	sáng nay
today	hôm nay
this year	năm nay
this evening	tối nay
to be worried	lo lắng
left hand side	bên trái
to stretch out hands	duỗi tay
sugar	đường
to sit	ngồi
thin	mỏng / gầy
wallet	ví
to bloom	nở
to make	làm
composition	bài văn
yesterday	hôm qua
last night	tối qua
to take a photo or record a film	chụp ảnh / quay phim
magazine	tạp chí
three	ba
three days	ba ngày
umbrella	ô
mountain	núi
to stroll	đi dạo
job	công việc
to use	dùng
four	bốn
four days	bốn ngày
to begin	bắt đầu
(humble) older sister	chị gái (khiêm)
child	trẻ em
to come to a halt	dừng lại
to die	chết
(humble) I	tôi (khiêm)
paper	giấy
tooth	răng
dictionary	từ điển
to hold	cầm
sometimes	thỉnh thoảng
time	thời gian
watch	đồng hồ
next	tiếp theo
ear	tai
bicycle	xe đạp
automobile	ô tô
oneself	bản thân
seven	bảy
seven days	bảy ngày
